序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
44	邵阳市	洞口县	2184				77.05 	77.05 	84.66	707587 	707587 	75.8319 	75.8319 	9331 	9331 	707587	279761 	279761 	279761	217549 	217549 	217549	183528 	183528 	183528	210277 	210277 	210277	9331 	9331
45	邵阳市	绥宁县	2927				35.11 	35.11 	37.55	407093 	407093 	33.1509 	33.1509 	12280 	12280 	407093	103301 	103301 	103301	189037 	189037 	189037	180158 	180158 	180158	114755 	114755 	114755	12280 	12280
46	邵阳市	新宁县	2751				56.07 	56.07 	61.67	432672 	432672 	55.6205 	55.6205 	7779 	7779 	432672	128096 	128096 	128096	111941 	111941 	111941	88482 	88482 	88482	192635 	192635 	192635	7779 	7779
47	邵阳市	城步苗族自治县	2647				25.06 	25.06 	27.32	186951 	186951 	24.5085 	24.5085 	7628 	7628 	186951	65365 	65365 	65365	66453 	66453 	66453	61412 	61412 	61412	55133 	55133 	55133	7628 	7628
48	邵阳市	武冈市	1532				73.49 	73.49 	81.12	619692 	619692 	70.8300 	70.8300 	8749 	8749 	619692	244833 	244833 	244833	121499 	121499 	121499	103805 	103805 	103805	253360 	253360 	253360	8749 	8749
49	岳阳市	岳阳楼区	1276 	1276 	14616	15087	81.44 	123.15 		1287817 	2592562 	33.5003 	67.4805 	38419 	38442 		36094 	251683 		433393 	1113579 		314193 	911387 		818330 	1227300 		38442 	
50	岳阳市	云溪区					17.66 			674237 		10.7100 			62954 		57916 			408739 			353580 			207582 			62954 	
51	岳阳市	君山区					24.05 			630508 		23.2703 			27095 		157673 			271447 			243614 			201388 			27095 	
52	岳阳市	岳阳县	2714	13340 			71.68 	71.68 	72.45	1356338 	1356338 	68.4708 	68.4708 	19809 	19809 	1356338	326506 	326506 	326506	621429 	621429 	621429	579869 	579869 	579869	408403 	408403 	408403	19809 	19809
53	岳阳市	华容县	1613				70.89 	70.89 	72.57	1652830 	1652830 	69.8399 	69.8399 	23666 	23666 	1652830	403743 	403743 	403743	794333 	794333 	794333	725017 	725017 	725017	454754 	454754 	454754	23666 	23666
